tracker_id,frame_idx,timestamp,centroid_x,centroid_y,area,class,speed_px_per_sec,confidence,track_length,frames_lost,bbox_x1,bbox_y1,bbox_x2,bbox_y2,kalman_area,velocity_x,velocity_y,displacement,trajectory_angle
1025,0,0.0,1190,392,20148.643,0,0.0,0.9000063538551331,1,0,1117.3717,323.773,1263.6615,461.50403,20148.643,0.0,0.0,0.0,0.0
1026,1,0.2,446,847,17877.65,0,0.0,0.8159795999526978,1,0,378.90546,780.88416,513.8909,913.32544,17877.65,0.0,0.0,0.0,0.0
1027,2,0.4,170,767,4741.76,0,0.0,0.5225095152854919,1,0,136.17862,733.4966,205.0682,802.3279,4741.76,0.0,0.0,0.0,0.0
1028,3,0.6,1126,250,43641.125,0,0.0,0.9333520531654358,1,0,1019.49365,148.42358,1233.4722,352.3746,43641.125,0.0,0.0,0.0,0.0
1028,4,0.8,1090,275,6401.1523,0,219.7635540036704,0.37402552366256714,3,0,1047.9788,237.88437,1133.5737,312.66867,6401.1523,-142.54146,99.311134,44.002355934613085,213.9923061669381
1029,4,0.8,427,418,5394.722,0,0.0,0.8573954701423645,1,0,390.98322,381.82806,464.9333,454.77893,5394.722,0.0,0.0,0.0,0.0
1030,4,0.8,341,712,40329.74,0,0.0,0.9142653942108154,1,0,238.54291,614.8179,443.96783,811.14136,40329.74,0.0,0.0,0.0,0.0
1031,5,1.0,25,620,3491.4856,0,0.0,0.7438958287239075,1,0,0.29169083,585.0395,49.878128,655.4516,3491.4856,0.0,0.0,0.0,0.0
1032,6,1.2,1137,856,7917.544,0,0.0,0.8394200801849365,1,0,1092.7615,812.3478,1181.7024,901.36804,7917.544,0.0,0.0,0.0,0.0
1033,7,1.4,182,294,18124.992,0,0.0,0.933253288269043,1,0,115.42251,226.27423,249.17856,361.78204,18124.992,0.0,0.0,0.0,0.0
1034,7,1.4,604,25,3451.7446,0,0.0,0.8240444660186768,1,0,570.3028,0.0,639.2098,50.092815,3451.7446,0.0,0.0,0.0,0.0
1035,8,1.6,845,158,3625.188,0,0.0,0.5424152612686157,1,0,813.1432,130.11801,877.3602,186.57013,3625.188,0.0,0.0,0.0,0.0
1036,9,1.8,1017,58,11708.733,0,0.0,0.818337082862854,1,0,963.1914,4.661457,1072.5823,111.697205,11708.733,0.0,0.0,0.0,0.0
1037,9,1.8,976,456,10712.362,0,0.0,0.7051356434822083,1,0,925.5746,404.11078,1027.68,509.02545,10712.362,0.0,0.0,0.0,0.0
1038,9,1.8,302,203,4573.327,0,0.0,0.5147685408592224,1,0,267.56995,171.04471,338.09338,235.89304,4573.327,0.0,0.0,0.0,0.0
1037,10,2.0,928,450,7729.527,0,242.49638946055347,0.8654128909111023,3,0,883.188,408.29324,974.802,492.66385,7729.527,-190.14912,-24.309603,49.06889364486701,172.3075864894372
1035,11,2.2,803,131,5674.921,0,249.69658476610013,0.8626295328140259,5,0,764.43353,94.95878,841.5904,168.50919,5674.921,-35.61014,-22.433584,50.32797532219091,147.09023675354626
1039,11,2.2,242,782,7424.3535,0,0.0,0.764713704586029,1,0,199.86005,738.5924,285.02966,825.7638,7424.3535,0.0,0.0,0.0,0.0
1040,12,2.4,246,327,5543.4307,0,0.0,0.8610190153121948,1,0,208.78131,291.01807,284.62354,364.10968,5543.4307,0.0,0.0,0.0,0.0
1041,13,2.6,1074,363,7391.177,0,0.0,0.7635509967803955,1,0,1030.1047,322.5132,1119.7727,404.9415,7391.177,0.0,0.0,0.0,0.0
1042,13,2.6,1122,517,5291.219,0,0.0,0.823333203792572,1,0,1084.2693,483.1112,1161.5378,551.5895,5291.219,0.0,0.0,0.0,0.0
1043,13,2.6,1161,282,4922.375,0,0.0,0.8573625087738037,1,0,1124.1946,249.67212,1198.0593,316.3125,4922.375,0.0,0.0,0.0,0.0
